"check","passed","detail"
"seed streams are distinct",1,"2026191803,2026201803,2026202803,2026203803,2026204803,2026205803,2026221803,2026251803"
"balanced half split",1,"1 250;2 250"
"both directions exchange the halves",1,"direction 1 and direction 2 use complementary training and validation sets"
"cross-signed target uses sign(0)=0",1,"computed=9; expected=9"
"projection is onto the closed radius interval",1,"0,7,20"
"calibration weight matches locked formula",1,"omega_250=1.719244649077"
"calibration weight has the required qualitative rates",1,"omega_250=1.719245; omega_1e6=2.625793"
"prespecified calibration default lies on the kappa grid",1,"default_kappa=1"
"one-standard-error rule selects the largest eligible kappa",1,"selected_index=4; selected_kappa=10"
"ordinary five-fold CV allocation is balanced",1,"100,100,100,100,100"
"complete replication is deterministic",1,"two executions with the same explicit seed streams agree"
"complete replication has ten calibration rows",1,"rows=10"
"raw and projected targets are both retained",1,"raw_range=3.1199683048345,3.79832078629938"
"PanIC-CF and five-fold CV both complete",1,"PanIC-CF 0;BIC-like 0;CV 0"
